Epoch 0, average loss = 1.204, accuracy = 0.684
Epoch 1, average loss = 0.884, accuracy = 0.804
Epoch 2, average loss = 0.713, accuracy = 0.847
Epoch 3, average loss = 0.606, accuracy = 0.878
Epoch 4, average loss = 0.531, accuracy = 0.898
Epoch 5, average loss = 0.478, accuracy = 0.908
Epoch 6, average loss = 0.437, accuracy = 0.919
Epoch 7, average loss = 0.403, accuracy = 0.931
Epoch 8, average loss = 0.373, accuracy = 0.938
Epoch 9, average loss = 0.352, accuracy = 0.932
Epoch 10, average loss = 0.328, accuracy = 0.939
Epoch 11, average loss = 0.312, accuracy = 0.942
Epoch 12, average loss = 0.296, accuracy = 0.944
Epoch 13, average loss = 0.283, accuracy = 0.945
Epoch 14, average loss = 0.270, accuracy = 0.950
Epoch 15, average loss = 0.258, accuracy = 0.949
Epoch 16, average loss = 0.251, accuracy = 0.949
Epoch 17, average loss = 0.240, accuracy = 0.953
Epoch 18, average loss = 0.231, accuracy = 0.955
Epoch 19, average loss = 0.222, accuracy = 0.958
Epoch 20, average loss = 0.214, accuracy = 0.956
Epoch 21, average loss = 0.206, accuracy = 0.961
Epoch 22, average loss = 0.201, accuracy = 0.961
Epoch 23, average loss = 0.200, accuracy = 0.957
Epoch 24, average loss = 0.190, accuracy = 0.965
Epoch 25, average loss = 0.185, accuracy = 0.966
Epoch 26, average loss = 0.182, accuracy = 0.965
Epoch 27, average loss = 0.176, accuracy = 0.967
Epoch 28, average loss = 0.172, accuracy = 0.967
Epoch 29, average loss = 0.168, accuracy = 0.969
Epoch 30, average loss = 0.164, accuracy = 0.973
Epoch 31, average loss = 0.161, accuracy = 0.971
Epoch 32, average loss = 0.157, accuracy = 0.972
Epoch 33, average loss = 0.154, accuracy = 0.971
Epoch 34, average loss = 0.151, accuracy = 0.973
Epoch 35, average loss = 0.147, accuracy = 0.974
Epoch 36, average loss = 0.146, accuracy = 0.973
Epoch 37, average loss = 0.142, accuracy = 0.976
Epoch 38, average loss = 0.138, accuracy = 0.974
Epoch 39, average loss = 0.136, accuracy = 0.974
Epoch 40, average loss = 0.137, accuracy = 0.972
Epoch 41, average loss = 0.132, accuracy = 0.976
Epoch 42, average loss = 0.129, accuracy = 0.976
Epoch 43, average loss = 0.126, accuracy = 0.976
Epoch 44, average loss = 0.124, accuracy = 0.978
Epoch 45, average loss = 0.122, accuracy = 0.973
Epoch 46, average loss = 0.121, accuracy = 0.974
Epoch 47, average loss = 0.118, accuracy = 0.974
Epoch 48, average loss = 0.116, accuracy = 0.978
Epoch 49, average loss = 0.112, accuracy = 0.979
Epoch 50, average loss = 0.111, accuracy = 0.980
Epoch 51, average loss = 0.110, accuracy = 0.980
Epoch 52, average loss = 0.109, accuracy = 0.981
Epoch 53, average loss = 0.107, accuracy = 0.979
Epoch 54, average loss = 0.106, accuracy = 0.981
Epoch 55, average loss = 0.104, accuracy = 0.979
Epoch 56, average loss = 0.103, accuracy = 0.980
Epoch 57, average loss = 0.102, accuracy = 0.981
Epoch 58, average loss = 0.101, accuracy = 0.981
Epoch 59, average loss = 0.099, accuracy = 0.983
Epoch 60, average loss = 0.101, accuracy = 0.982
Epoch 61, average loss = 0.097, accuracy = 0.984
Epoch 62, average loss = 0.096, accuracy = 0.982
Epoch 63, average loss = 0.093, accuracy = 0.982
Epoch 64, average loss = 0.094, accuracy = 0.983
Epoch 65, average loss = 0.092, accuracy = 0.984
Epoch 66, average loss = 0.091, accuracy = 0.984
Epoch 67, average loss = 0.089, accuracy = 0.984
Epoch 68, average loss = 0.088, accuracy = 0.984
Epoch 69, average loss = 0.088, accuracy = 0.983
Epoch 70, average loss = 0.086, accuracy = 0.983
Epoch 71, average loss = 0.084, accuracy = 0.983
Epoch 72, average loss = 0.085, accuracy = 0.984
Epoch 73, average loss = 0.084, accuracy = 0.984
Epoch 74, average loss = 0.081, accuracy = 0.984
Epoch 75, average loss = 0.082, accuracy = 0.985
Epoch 76, average loss = 0.079, accuracy = 0.984
Epoch 77, average loss = 0.078, accuracy = 0.984
Epoch 78, average loss = 0.078, accuracy = 0.985
Epoch 79, average loss = 0.077, accuracy = 0.984
Test, average loss = 0.091, accuracy = 0.985
